Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Yadiel Rivera,506.000,5.100,23.500,0.247,0.290,0.402,0.692,0.000
Yahmed Yema,491.000,4.700,14.300,0.289,0.329,0.427,0.755,0.000
Yairo Munoz,400.000,5.500,15.500,0.236,0.278,0.363,0.641,0.000
Yasiel Balaguert,392.000,5.100,21.900,0.252,0.291,0.366,0.657,0.000
Yazy Arbelo,549.000,13.300,29.300,0.247,0.361,0.516,0.877,0.000
Yefri Carvajal,488.000,5.100,20.500,0.268,0.305,0.357,0.662,0.000
Yefri Perez,462.000,5.600,11.700,0.287,0.335,0.335,0.670,0.000
Yeiler Peguero,437.000,10.500,17.200,0.233,0.318,0.332,0.649,0.000
Yeison Asencio,378.000,4.200,10.100,0.323,0.353,0.474,0.827,0.000
Yeltsin Gudino,465.000,7.500,13.500,0.259,0.330,0.317,0.648,0.000
Yermin Mercedes,382.000,8.900,16.500,0.353,0.411,0.579,0.990,0.000
Yeyson Yrizarri,479.000,1.900,19.000,0.269,0.292,0.389,0.681,0.000
Yoel Campusano,421.000,6.700,12.400,0.288,0.343,0.387,0.730,0.000
Yohan Silva,408.000,14.500,17.600,0.236,0.351,0.378,0.728,0.000
Yojhan Quevedo,417.000,2.900,12.200,0.273,0.300,0.391,0.691,0.000
Yonathan Daza,516.000,4.500,15.100,0.307,0.341,0.408,0.749,0.000
Yordy Cabrera,389.840,7.554,24.100,0.234,0.306,0.383,0.687,0.000
Yu-Cheng Chang,440.000,6.100,23.400,0.232,0.293,0.361,0.655,0.000
Yuber Rodriguez,395.000,7.300,27.300,0.240,0.303,0.368,0.670,0.000
Yunesky Sanchez,445.000,5.600,8.100,0.282,0.323,0.353,0.676,0.000
Zac Shepherd,443.000,10.600,26.400,0.245,0.327,0.339,0.667,0.000
Zach Collier,471.000,8.500,21.000,0.255,0.328,0.349,0.676,0.000
Zach Cone,475.000,8.200,23.200,0.262,0.326,0.461,0.787,0.000
Zach Gentile,389.000,12.100,9.500,0.233,0.326,0.285,0.611,0.000
Zach Houchins,546.000,7.100,12.300,0.253,0.313,0.401,0.714,0.000
Zach Johnson,607.000,12.400,15.200,0.238,0.339,0.406,0.745,0.000
Zach Remillard,529.000,3.600,23.400,0.246,0.281,0.353,0.634,0.000
Zach Sullivan,412.602,5.360,27.014,0.209,0.258,0.274,0.532,0.000
Zach Vincej,425.000,8.500,16.900,0.263,0.333,0.358,0.691,0.000
Zach Walters,412.000,10.200,23.300,0.302,0.377,0.485,0.861,0.000
Zack Cozart,464.000,5.200,16.600,0.280,0.330,0.457,0.787,1.000
Zack Larson,456.000,8.600,18.400,0.214,0.291,0.275,0.566,0.000
Zack Shields,398.000,6.000,20.600,0.240,0.293,0.311,0.604,0.000
Zacrey Law,478.000,5.600,19.900,0.252,0.300,0.340,0.640,0.000
Zander Wiel,568.000,9.700,22.000,0.259,0.333,0.459,0.792,0.000
Zeke DeVoss,581.000,14.100,20.300,0.249,0.382,0.370,0.752,0.000
Zelous Wheeler,576.000,10.600,18.200,0.258,0.346,0.406,0.751,0.000
